,time,motionsensor1,motionsensor2,doorsensor,takepill
137,2019-08-07 21:20:15,1,0,0,1
138,2019-08-07 21:20:16,1,0,0,1
139,2019-08-07 21:20:17,1,0,0,1
140,2019-08-07 21:20:18,1,0,0,1
141,2019-08-07 21:20:19,1,0,0,1
142,2019-08-07 21:20:20,1,0,0,1
143,2019-08-07 21:20:21,1,0,0,1
144,2019-08-07 21:20:22,0,0,0,0
145,2019-08-07 21:20:23,0,0,0,0
146,2019-08-07 21:20:24,0,0,0,0
147,2019-08-07 21:20:25,0,0,0,0
148,2019-08-07 21:20:26,0,0,0,0
149,2019-08-07 21:20:27,0,0,0,0
150,2019-08-07 21:20:28,0,0,0,0
151,2019-08-07 21:20:29,0,0,0,0
152,2019-08-07 21:20:30,0,0,0,0
153,2019-08-07 21:20:31,0,0,0,0
